full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
Yeachan-Heo/oh-my-claudecode,33691,33691,3092,2146,2146,171,https://github.com/Yeachan-Heo/oh-my-claudecode
Pimzino/claude-code-spec-workflow,3728,3728,264,32,32,5,https://github.com/Pimzino/claude-code-spec-workflow
carlvellotti/claude-code-pm-course,2008,2008,320,84,84,21,https://github.com/carlvellotti/claude-code-pm-course
alirezarezvani/claude-skills,14657,14657,1987,1764,1764,284,https://github.com/alirezarezvani/claude-skills
AICoderTudou/claude-code-tudou,500,500,403,4,4,7,https://github.com/AICoderTudou/claude-code-tudou
ghuntley/claude-code-source-code-deobfuscation,976,976,552,3,3,-2,https://github.com/ghuntley/claude-code-source-code-deobfuscation
snarktank/ralph,19017,19017,1889,1099,1099,113,https://github.com/snarktank/ralph
nanocoai/nanoclaw,28838,28838,12810,28838,28838,12810,https://github.com/nanocoai/nanoclaw
andrew-kramer-inno/claude-code-source-build,588,588,520,7,7,3,https://github.com/andrew-kramer-inno/claude-code-source-build
Windy3f3f3f3f/claude-code-from-scratch,1180,1180,365,159,159,24,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
wshobson/agents,35315,35315,3841,915,915,116,https://github.com/wshobson/agents
feiskyer/claude-code-settings,1505,1505,219,33,33,1,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,1095,1095,242,40,40,-1,https://github.com/sugyan/claude-code-webui
darcyegb/ClaudeCodeAgents,691,691,63,691,691,63,https://github.com/darcyegb/ClaudeCodeAgents
farion1231/cc-switch,69723,69723,4469,17137,17137,1070,https://github.com/farion1231/cc-switch
anthropics/claude-plugins-official,19283,19283,2404,1273,1273,245,https://github.com/anthropics/claude-plugins-official
Hyper66666/claude-code-sourcemap,214,214,461,1,1,2,https://github.com/Hyper66666/claude-code-sourcemap
router-for-me/CLIProxyAPI,32518,32518,5409,3381,3381,563,https://github.com/router-for-me/CLIProxyAPI
centminmod/my-claude-code-setup,2287,2287,219,2287,2287,219,https://github.com/centminmod/my-claude-code-setup
eyaltoledano/claude-task-master,27125,27125,2529,246,246,17,https://github.com/eyaltoledano/claude-task-master
KPR111/Claude-Code,16,16,330,16,16,330,https://github.com/KPR111/Claude-Code
lst97/claude-code-sub-agents,1562,1562,251,1562,1562,251,https://github.com/lst97/claude-code-sub-agents
