full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
nicedreamzapp/claude-code-local,2686,2686,516,1,1,0,https://github.com/nicedreamzapp/claude-code-local
lorryjovens-hub/claude-code-rust,1611,1611,632,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
zebbern/claude-code-guide,4165,4165,408,1,1,0,https://github.com/zebbern/claude-code-guide
777genius/claude-code-source-code,912,912,1111,0,0,0,https://github.com/777genius/claude-code-source-code
FlorianBruniaux/claude-code-ultimate-guide,4475,4475,592,1,1,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
disler/claude-code-hooks-mastery,3705,3705,614,1,1,0,https://github.com/disler/claude-code-hooks-mastery
zstmfhy/Claude-code,190,190,284,0,0,0,https://github.com/zstmfhy/Claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8061,8061,410,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/claude-code-security-review,4790,4790,476,16,16,2,https://github.com/anthropics/claude-code-security-review
kodu-ai/claude-coder,5275,5275,199,-1,-1,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2369,2369,407,0,0,-1,https://github.com/Yuyz0112/claude-code-reverse
RichardAtCT/claude-code-telegram,2629,2629,385,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
Windy3f3f3f3f/how-claude-code-works,2458,2458,582,6,6,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
multica-ai/andrej-karpathy-skills,153036,153036,15687,365,365,40,https://github.com/multica-ai/andrej-karpathy-skills
fuergaosi233/claude-code-proxy,2616,2616,383,2,2,0,https://github.com/fuergaosi233/claude-code-proxy
alejandrobalderas/claude-code-from-source,2105,2105,620,5,5,1,https://github.com/alejandrobalderas/claude-code-from-source
anthropics/skills,140390,140390,16585,97,97,10,https://github.com/anthropics/skills
ding113/claude-code-hub,2917,2917,329,3,3,0,https://github.com/ding113/claude-code-hub
rohitg00/awesome-claude-code-toolkit,1806,1806,571,3,3,3,https://github.com/rohitg00/awesome-claude-code-toolkit
fazxes/Claude-code,217,217,212,0,0,0,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2775,2775,311,0,0,2,https://github.com/Cranot/claude-code-guide
SeemSeam/claude_codex_bridge,2761,2761,273,8,8,0,https://github.com/SeemSeam/claude_codex_bridge
luyao618/Claude-Code-Source-Study,1422,1422,518,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
AprilNEA/claude-code-source,384,384,616,0,0,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,848,848,605,0,0,0,https://github.com/anthropics/claude-code-base-action
repowise-dev/claude-code-prompts,1055,1055,368,0,0,0,https://github.com/repowise-dev/claude-code-prompts
https-deeplearning-ai/sc-claude-code-files,518,518,745,1,1,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
JrCx7scC/claude-code-source,368,368,548,0,0,0,https://github.com/JrCx7scC/claude-code-source
guanshan/ClaudeCode,59,59,213,0,0,0,https://github.com/guanshan/ClaudeCode
sickn33/antigravity-awesome-skills,38607,38607,6278,18,18,2,https://github.com/sickn33/antigravity-awesome-skills
luongnv89/claude-howto,34113,34113,4174,25,25,0,https://github.com/luongnv89/claude-howto
edmund-io/edmunds-claude-code,1444,1444,285,1,1,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3743,3743,267,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
Yeachan-Heo/oh-my-claudecode,34786,34786,3186,14,14,3,https://github.com/Yeachan-Heo/oh-my-claudecode
carlvellotti/claude-code-pm-course,2038,2038,329,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
AICoderTudou/claude-code-tudou,501,501,401,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
Windy3f3f3f3f/claude-code-from-scratch,1258,1258,375,1,1,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
andrew-kramer-inno/claude-code-source-build,590,590,525,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
ghuntley/claude-code-source-code-deobfuscation,978,978,550,0,0,-1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
feiskyer/claude-code-settings,1521,1521,222,0,0,0,https://github.com/feiskyer/claude-code-settings
wshobson/agents,35907,35907,3904,13,13,2,https://github.com/wshobson/agents
sugyan/claude-code-webui,1122,1122,244,1,1,0,https://github.com/sugyan/claude-code-webui
farion1231/cc-switch,80126,80126,5226,80126,80126,5226,https://github.com/farion1231/cc-switch
nanocoai/nanoclaw,29371,29371,12873,8,8,-1,https://github.com/nanocoai/nanoclaw
darcyegb/ClaudeCodeAgents,701,701,63,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
anthropics/claude-plugins-official,27529,27529,2931,170,170,19,https://github.com/anthropics/claude-plugins-official
alirezarezvani/claude-skills,16116,16116,2219,12,12,2,https://github.com/alirezarezvani/claude-skills
snarktank/ralph,19506,19506,1946,17,17,1,https://github.com/snarktank/ralph
Hyper66666/claude-code-sourcemap,214,214,458,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
KPR111/Claude-Code,17,17,330,0,0,0,https://github.com/KPR111/Claude-Code
centminmod/my-claude-code-setup,2350,2350,224,4,4,0,https://github.com/centminmod/my-claude-code-setup
disler/pi-vs-claude-code,1215,1215,296,2,2,0,https://github.com/disler/pi-vs-claude-code
catlog22/Claude-Code-Workflow,2034,2034,162,0,0,1,https://github.com/catlog22/Claude-Code-Workflow
jeremylongshore/claude-code-plugins-plus-skills,2239,2239,308,0,0,1,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
